Sentence,Sentiment
I'm so pissed off right now!,angry
I'm absolutely thrilled today!,happy
I'm so tired of being taken for granted!,angry
I'm feeling really down today.,sad
I'm boiling with anger!,angry
Feeling so upbeat and enthusiastic!,happy
I'm checking the weather forecast.,neutral
My heart feels heavy with sorrow.,sad
The weight of sadness is crushing me.,sad
Just watering the plants.,neutral
Every bit of today is just perfect!,happy
I'm lost in the depths of despair.,sad
Why does this always have to happen to me?,angry
